RequestID,RequesterName,CertificateTemplate,CertificateIssuedCommonName,CertificateSubject,CertificateSANs,EnhancedKeyUsage,CertificateValidityStart,CertificateValidityEnd,SerialNumber,RequestSubmissionTime,RequestDisposition,EKU,Abuse_Flag
20513,contoso.com\ronaldbooth,ServerCertificate,Ronald Booth,"CN=Ronald Booth, OU=Marketing, DC=intra.contoso.local","RFC822:ronaldbooth@contoso.com, URI:https://contoso.com/users/ronaldbooth, URI:https://contoso.com/users/ronaldbooth",Server Authentication,2024-06-05 10:40:46,2026-06-05 10:40:46,1000573,2024-06-05 10:40:46,Issued,Server Authentication,
21086,contoso.com\mckenzieg,EncryptionCertificate,Mckenzie Gutierrez,"CN=Mckenzie Gutierrez, OU=IT, DC=intra.contoso.local",RFC822:mckenzieg@contoso.com,Secure Email,2024-07-07 02:10:29,2026-07-07 02:10:29,1000435,2024-07-07 02:10:29,Issued,Secure Email,
21470,contoso.com\terria,AdminCertificate,Terri Alexander,"CN=Terri Alexander, OU=Operations, DC=intra.contoso.local","UPN:terria@contoso.com, UPN:terria@contoso.com, URI:https://contoso.com/users/terria","Client Authentication, Any Purpose",2023-08-17 00:49:04,2025-08-16 00:49:04,1000708,2023-08-17 00:49:04,Issued,"Client Authentication, Any Purpose",
20035,contoso.com\bbecker,DomainControllerCertificate,Brandon Becker,"CN=Brandon Becker, OU=Finance, DC=intra.contoso.local",URI:https://contoso.com/users/bbecker,"Client Authentication, Server Authentication",2024-08-03 05:04:55,2026-08-03 05:04:55,1000672,2024-08-03 05:04:55,Issued,"Client Authentication, Server Authentication",
21968,contoso.com\fin-pc487$,DomainControllerCertificate,fin-pc487.intra.contoso.local,CN=fin-pc487.intra.contoso.local,"DNS:fin-pc487.intra.contoso.local, DNS:fin-pc487.intra.contoso.local, IP:192.168.252.155","Client Authentication, Server Authentication",2024-07-14 13:49:43,2026-07-14 13:49:43,1000700,2024-07-14 13:49:43,Issued,"Client Authentication, Server Authentication",
21083,contoso.com\leg-pc944$,MachineCertificate,leg-pc944.intra.contoso.local,CN=leg-pc944.intra.contoso.local,DNS:leg-pc944.intra.contoso.local,"Client Authentication, Server Authentication",2023-03-31 23:51:29,2025-03-30 23:51:29,1000561,2023-03-31 23:51:29,Issued,"Client Authentication, Server Authentication",
20371,contoso.com\caroldavis,CodeSigningCertificate,Carol Davis,"CN=Carol Davis, OU=Finance, DC=intra.contoso.local","URI:https://contoso.com/users/caroldavis, URI:https://contoso.com/users/caroldavis",Code Signing,2023-11-22 01:03:55,2025-11-21 01:03:55,1000215,2023-11-22 01:03:55,Issued,Code Signing,
21579,contoso.com\robert.henry,VPNCertificate,Robert Henry,"CN=Robert Henry, OU=Sales, DC=intra.contoso.local","URI:https://contoso.com/users/robert.henry, URI:https://contoso.com/users/robert.henry",Client Authentication,2024-10-21 08:02:51,2026-10-21 08:02:51,1000914,2024-10-21 08:02:51,Issued,Client Authentication,
20501,contoso.com\brandon.price,CodeSigningCertificate,Brandon Price,"CN=Brandon Price, OU=Finance, DC=intra.contoso.local",RFC822:brandon.price@contoso.com,Code Signing,2024-06-23 00:23:43,2026-06-23 00:23:43,1000655,2024-06-23 00:23:43,Issued,Code Signing,
20132,contoso.com\ricky.king,VPNCertificate,Ricky King,"CN=Ricky King, OU=Legal, DC=intra.contoso.local",RFC822:ricky.king@contoso.com,Client Authentication,2023-10-01 15:57:21,2025-09-30 15:57:21,1000919,2023-10-01 15:57:21,Issued,Client Authentication,
21235,contoso.com\brandihowell,UserCertificate,Brandi Howell,"CN=Brandi Howell, OU=Engineering, DC=intra.contoso.local",RFC822:brandihowell@contoso.com,"Client Authentication, Secure Email",2024-11-26 05:26:35,2026-11-26 05:26:35,1000084,2024-11-26 05:26:35,Issued,"Client Authentication, Secure Email",
21427,contoso.com\slewis,UnknownTemplate,Sergio Lewis,"CN=Sergio Lewis, OU=Sales, DC=intra.contoso.local",UPN:slewis@contoso.com,UnknownUsage,2024-09-09 18:30:28,2026-09-09 18:30:28,1000045,2024-09-09 18:30:28,Issued,UnknownUsage,
21799,contoso.com\leg-pc622$,SMIMECertificate,leg-pc622.intra.contoso.local,CN=leg-pc622.intra.contoso.local,"IP:172.16.230.191, DNS:leg-pc622.intra.contoso.local",Secure Email,2023-06-13 04:51:20,2025-06-12 04:51:20,1000296,2023-06-13 04:51:20,Issued,Secure Email,
21137,contoso.com\brians,MachineCertificate,Brian Scott,"CN=Brian Scott, OU=Finance, DC=intra.contoso.local",UPN:brians@contoso.com,"Client Authentication, Server Authentication",2024-03-15 01:29:21,2026-03-15 01:29:21,1000235,2024-03-15 01:29:21,Issued,"Client Authentication, Server Authentication",
21283,contoso.com\victoriap,DomainControllerCertificate,Victoria Parks,"CN=Victoria Parks, OU=HR, DC=intra.contoso.local","UPN:victoriap@contoso.com, URI:https://contoso.com/users/victoriap","Client Authentication, Server Authentication",2024-11-06 05:25:48,2026-11-06 05:25:48,1000543,2024-11-06 05:25:48,Issued,"Client Authentication, Server Authentication",
21595,contoso.com\shannonsanford,CodeSigningCertificate,Shannon Sanford,"CN=Shannon Sanford, OU=Marketing, DC=intra.contoso.local",URI:https://contoso.com/users/shannonsanford,Code Signing,2023-09-11 06:28:09,2025-09-10 06:28:09,1000570,2023-09-11 06:28:09,Issued,Code Signing,
20754,contoso.com\jennifer.brooks,EncryptionCertificate,Jennifer Brooks,"CN=Jennifer Brooks, OU=IT, DC=intra.contoso.local","URI:https://contoso.com/users/jennifer.brooks, URI:https://contoso.com/users/jennifer.brooks",Secure Email,2023-09-16 01:10:10,2025-09-15 01:10:10,1000836,2023-09-16 01:10:10,Issued,Secure Email,
21316,contoso.com\jbryant,ServerCertificate,Jessica Bryant,"CN=Jessica Bryant, OU=Marketing, DC=intra.contoso.local","URI:https://contoso.com/users/jbryant, RFC822:jbryant@contoso.com",Server Authentication,2024-10-11 00:34:41,2026-10-11 00:34:41,1000628,2024-10-11 00:34:41,Issued,Server Authentication,
21647,contoso.com\lmiller,UserCertificate,Lisa Miller,"CN=Lisa Miller, OU=Legal, DC=intra.contoso.local","UPN:lmiller@contoso.com, UPN:lmiller@contoso.com","Client Authentication, Secure Email",2024-08-28 04:03:05,2026-08-28 04:03:05,1000087,2024-08-28 04:03:05,Issued,"Client Authentication, Secure Email",
20097,contoso.com\aphillips,VPNCertificate,Anthony Phillips,"CN=Anthony Phillips, OU=Legal, DC=intra.contoso.local",URI:https://contoso.com/users/aphillips,Client Authentication,2023-09-05 12:17:39,2025-09-04 12:17:39,1000488,2023-09-05 12:17:39,Issued,Client Authentication,
20624,contoso.com\joshuar,EncryptionCertificate,Joshua Ryan,"CN=Joshua Ryan, OU=Operations, DC=intra.contoso.local",URI:https://contoso.com/users/joshuar,Secure Email,2024-01-26 23:34:31,2026-01-25 23:34:31,1000449,2024-01-26 23:34:31,Issued,Secure Email,
21095,contoso.com\jacquelinegonzalez,UnknownTemplate,Jacqueline Gonzalez,"CN=Jacqueline Gonzalez, OU=Marketing, DC=intra.contoso.local",RFC822:jacquelinegonzalez@contoso.com,UnknownUsage,2024-03-31 14:10:59,2026-03-31 14:10:59,1000410,2024-03-31 14:10:59,Issued,UnknownUsage,
20922,contoso.com\eng-pc145$,UnknownTemplate,eng-pc145.intra.contoso.local,CN=eng-pc145.intra.contoso.local,IP:192.168.62.242,UnknownUsage,2024-12-28 19:04:47,2026-12-28 19:04:47,1000074,2024-12-28 19:04:47,Issued,UnknownUsage,
20166,contoso.com\sandraa,DomainControllerCertificate,Sandra Adams,"CN=Sandra Adams, OU=IT, DC=intra.contoso.local","UPN:sandraa@contoso.com, RFC822:sandraa@contoso.com","Client Authentication, Server Authentication",2024-10-03 16:50:47,2026-10-03 16:50:47,1000856,2024-10-03 16:50:47,Issued,"Client Authentication, Server Authentication",
20671,contoso.com\johnboone,UserCertificate,John Boone,"CN=John Boone, OU=HR, DC=intra.contoso.local","UPN:johnboone@contoso.com, UPN:johnboone@contoso.com, RFC822:johnboone@contoso.com","Client Authentication, Secure Email",2023-03-12 04:10:29,2025-03-11 04:10:29,1000065,2023-03-12 04:10:29,Issued,"Client Authentication, Secure Email",
20839,contoso.com\justins,MachineCertificate,Justin Spencer,"CN=Justin Spencer, OU=Sales, DC=intra.contoso.local","URI:https://contoso.com/users/justins, UPN:justins@contoso.com, URI:https://contoso.com/users/justins","Client Authentication, Server Authentication",2023-09-02 06:56:53,2025-09-01 06:56:53,1000399,2023-09-02 06:56:53,Issued,"Client Authentication, Server Authentication",
21004,contoso.com\erica.miller,CodeSigningCertificate,Erica Miller,"CN=Erica Miller, OU=Engineering, DC=intra.contoso.local","RFC822:erica.miller@contoso.com, RFC822:erica.miller@contoso.com",Code Signing,2024-05-24 08:26:59,2026-05-24 08:26:59,1000413,2024-05-24 08:26:59,Issued,Code Signing,
20422,contoso.com\jeremy.green,CodeSigningCertificate,Jeremy Green,"CN=Jeremy Green, OU=Engineering, DC=intra.contoso.local","UPN:jeremy.green@contoso.com, URI:https://contoso.com/users/jeremy.green",Code Signing,2024-02-20 23:44:40,2026-02-19 23:44:40,1000558,2024-02-20 23:44:40,Issued,Code Signing,
21552,contoso.com\rbell,UnknownTemplate,Robert Bell,"CN=Robert Bell, OU=HR, DC=intra.contoso.local","URI:https://contoso.com/users/rbell, URI:https://contoso.com/users/rbell",UnknownUsage,2024-02-19 21:14:02,2026-02-18 21:14:02,1000920,2024-02-19 21:14:02,Issued,UnknownUsage,
21324,contoso.com\carolrobinson,ServerCertificate,Carol Robinson,"CN=Carol Robinson, OU=HR, DC=intra.contoso.local","URI:https://contoso.com/users/carolrobinson, UPN:carolrobinson@contoso.com, UPN:carolrobinson@contoso.com",Server Authentication,2025-02-28 13:52:56,2027-02-28 13:52:56,1000396,2025-02-28 13:52:56,Issued,Server Authentication,
20493,contoso.com\fin-pc610$,ServerCertificate,fin-pc610.intra.contoso.local,CN=fin-pc610.intra.contoso.local,IP:192.168.62.63,Server Authentication,2023-12-31 23:55:03,2025-12-30 23:55:03,1000030,2023-12-31 23:55:03,Issued,Server Authentication,
21984,contoso.com\fin-pc577$,CodeSigningCertificate,fin-pc577.intra.contoso.local,CN=fin-pc577.intra.contoso.local,IP:172.16.10.75,Code Signing,2024-07-01 00:03:25,2026-07-01 00:03:25,1000344,2024-07-01 00:03:25,Issued,Code Signing,
20321,contoso.com\it-pc578$,UnknownTemplate,it-pc578.intra.contoso.local,CN=it-pc578.intra.contoso.local,"IP:172.20.78.112, IP:10.22.167.225, IP:10.130.33.243",UnknownUsage,2023-03-19 08:33:23,2025-03-18 08:33:23,1000053,2023-03-19 08:33:23,Issued,UnknownUsage,
21982,contoso.com\jholland,EmailCertificate,James Holland,"CN=James Holland, OU=Operations, DC=intra.contoso.local","URI:https://contoso.com/users/jholland, UPN:jholland@contoso.com",Secure Email,2024-05-07 02:48:16,2026-05-07 02:48:16,1000749,2024-05-07 02:48:16,Issued,Secure Email,
21931,contoso.com\amandaavila,VPNCertificate,Amanda Avila,"CN=Amanda Avila, OU=Marketing, DC=intra.contoso.local","URI:https://contoso.com/users/amandaavila, URI:https://contoso.com/users/amandaavila, URI:https://contoso.com/users/amandaavila",Client Authentication,2024-07-17 21:29:04,2026-07-17 21:29:04,1000440,2024-07-17 21:29:04,Issued,Client Authentication,
20567,contoso.com\tramirez,ServerCertificate,Timothy Ramirez,"CN=Timothy Ramirez, OU=IT, DC=intra.contoso.local","RFC822:tramirez@contoso.com, UPN:tramirez@contoso.com",Server Authentication,2023-06-02 00:56:30,2025-06-01 00:56:30,1000983,2023-06-02 00:56:30,Issued,Server Authentication,
20082,contoso.com\eng-pc915$,CodeSigningCertificate,eng-pc915.intra.contoso.local,CN=eng-pc915.intra.contoso.local,"IP:10.207.58.12, IP:192.168.57.71, DNS:eng-pc915.intra.contoso.local",Code Signing,2024-05-08 22:26:23,2026-05-08 22:26:23,1000019,2024-05-08 22:26:23,Issued,Code Signing,
20456,contoso.com\rtaylor,VPNCertificate,Richard Taylor,"CN=Richard Taylor, OU=Engineering, DC=intra.contoso.local","UPN:rtaylor@contoso.com, UPN:rtaylor@contoso.com",Client Authentication,2023-11-14 00:39:24,2025-11-13 00:39:24,1000077,2023-11-14 00:39:24,Issued,Client Authentication,
21228,contoso.com\mar-pc627$,MachineCertificate,mar-pc627.intra.contoso.local,CN=mar-pc627.intra.contoso.local,DNS:mar-pc627.intra.contoso.local,"Client Authentication, Server Authentication",2023-08-03 04:03:54,2025-08-02 04:03:54,1000685,2023-08-03 04:03:54,Issued,"Client Authentication, Server Authentication",
20648,contoso.com\jeremyr,UnknownTemplate,Jeremy Robinson,"CN=Jeremy Robinson, OU=IT, DC=intra.contoso.local","URI:https://contoso.com/users/jeremyr, URI:https://contoso.com/users/jeremyr",UnknownUsage,2023-10-10 00:16:09,2025-10-09 00:16:09,1000016,2023-10-10 00:16:09,Issued,UnknownUsage,
20691,contoso.com\it-pc575$,VPNCertificate,it-pc575.intra.contoso.local,CN=it-pc575.intra.contoso.local,"DNS:it-pc575.intra.contoso.local, IP:10.245.56.65",Client Authentication,2023-07-20 14:48:43,2025-07-19 14:48:43,1000062,2023-07-20 14:48:43,Issued,Client Authentication,
21722,contoso.com\it-pc180$,AdminCertificate,it-pc180.intra.contoso.local,CN=it-pc180.intra.contoso.local,"DNS:it-pc180.intra.contoso.local, IP:10.137.163.133, IP:10.169.152.184","Client Authentication, Any Purpose",2023-06-23 01:35:27,2025-06-22 01:35:27,1000451,2023-06-23 01:35:27,Issued,"Client Authentication, Any Purpose",
21538,contoso.com\andreab,SMIMECertificate,Andrea Bell,"CN=Andrea Bell, OU=Engineering, DC=intra.contoso.local",URI:https://contoso.com/users/andreab,Secure Email,2025-02-19 19:25:41,2027-02-19 19:25:41,1000442,2025-02-19 19:25:41,Issued,Secure Email,
21530,contoso.com\jenniferarias,DomainControllerCertificate,Jennifer Arias,"CN=Jennifer Arias, OU=Legal, DC=intra.contoso.local","RFC822:jenniferarias@contoso.com, URI:https://contoso.com/users/jenniferarias, UPN:jenniferarias@contoso.com","Client Authentication, Server Authentication",2023-07-31 04:24:24,2025-07-30 04:24:24,1000882,2023-07-31 04:24:24,Issued,"Client Authentication, Server Authentication",
20847,contoso.com\dennisjordan,VPNCertificate,Dennis Jordan,"CN=Dennis Jordan, OU=Marketing, DC=intra.contoso.local",URI:https://contoso.com/users/dennisjordan,Client Authentication,2023-05-21 12:49:32,2025-05-20 12:49:32,1000281,2023-05-21 12:49:32,Issued,Client Authentication,
21855,contoso.com\brenda.maxwell,UserCertificate,Brenda Maxwell,"CN=Brenda Maxwell, OU=HR, DC=intra.contoso.local","URI:https://contoso.com/users/brenda.maxwell, URI:https://contoso.com/users/brenda.maxwell, URI:https://contoso.com/users/brenda.maxwell","Client Authentication, Secure Email",2024-05-09 05:47:49,2026-05-09 05:47:49,1000095,2024-05-09 05:47:49,Issued,"Client Authentication, Secure Email",
20056,contoso.com\chad.cook,VPNCertificate,Chad Cook,"CN=Chad Cook, OU=Legal, DC=intra.contoso.local","URI:https://contoso.com/users/chad.cook, RFC822:chad.cook@contoso.com",Client Authentication,2024-07-31 17:04:30,2026-07-31 17:04:30,1000379,2024-07-31 17:04:30,Issued,Client Authentication,
20485,contoso.com\sandra.martin,DomainControllerCertificate,Sandra Martin,"CN=Sandra Martin, OU=Legal, DC=intra.contoso.local","UPN:sandra.martin@contoso.com, URI:https://contoso.com/users/sandra.martin, UPN:sandra.martin@contoso.com","Client Authentication, Server Authentication",2024-01-13 17:00:42,2026-01-12 17:00:42,1000482,2024-01-13 17:00:42,Issued,"Client Authentication, Server Authentication",
21063,contoso.com\leg-pc288$,SMIMECertificate,leg-pc288.intra.contoso.local,CN=leg-pc288.intra.contoso.local,"IP:192.168.98.146, IP:10.142.24.188",Secure Email,2023-06-21 23:03:37,2025-06-20 23:03:37,1000802,2023-06-21 23:03:37,Issued,Secure Email,
21027,contoso.com\beckycervantes,AdminCertificate,Becky Cervantes,"CN=Becky Cervantes, OU=Sales, DC=intra.contoso.local","UPN:beckycervantes@contoso.com, UPN:beckycervantes@contoso.com","Client Authentication, Any Purpose",2024-11-22 08:36:42,2026-11-22 08:36:42,1000218,2024-11-22 08:36:42,Issued,"Client Authentication, Any Purpose",
20348,contoso.com\laurenj,UnknownTemplate,Lauren Johnson,"CN=Lauren Johnson, OU=Engineering, DC=intra.contoso.local","UPN:laurenj@contoso.com, UPN:laurenj@contoso.com",UnknownUsage,2025-02-02 02:42:27,2027-02-02 02:42:27,1000306,2025-02-02 02:42:27,Issued,UnknownUsage,
21642,contoso.com\tamarab,CodeSigningCertificate,Tamara Bell,"CN=Tamara Bell, OU=Finance, DC=intra.contoso.local","UPN:tamarab@contoso.com, RFC822:tamarab@contoso.com, UPN:tamarab@contoso.com",Code Signing,2024-02-13 06:31:42,2026-02-12 06:31:42,1000735,2024-02-13 06:31:42,Issued,Code Signing,
21143,contoso.com\eng-pc928$,SMIMECertificate,eng-pc928.intra.contoso.local,CN=eng-pc928.intra.contoso.local,"IP:172.19.184.208, IP:192.168.71.206, IP:192.168.232.159",Secure Email,2023-08-10 07:16:29,2025-08-09 07:16:29,1000601,2023-08-10 07:16:29,Issued,Secure Email,
20160,contoso.com\andrew.jordan,SMIMECertificate,Andrew Jordan,"CN=Andrew Jordan, OU=Sales, DC=intra.contoso.local","UPN:andrew.jordan@contoso.com, RFC822:andrew.jordan@contoso.com",Secure Email,2024-05-22 10:04:08,2026-05-22 10:04:08,1000832,2024-05-22 10:04:08,Issued,Secure Email,
21259,contoso.com\lawrence.rhodes,EncryptionCertificate,Lawrence Rhodes,"CN=Lawrence Rhodes, OU=Marketing, DC=intra.contoso.local","URI:https://contoso.com/users/lawrence.rhodes, URI:https://contoso.com/users/lawrence.rhodes",Secure Email,2023-07-01 02:29:12,2025-06-30 02:29:12,1000336,2023-07-01 02:29:12,Issued,Secure Email,
21475,contoso.com\kenneth.cruz,DomainControllerCertificate,Kenneth Cruz,"CN=Kenneth Cruz, OU=Operations, DC=intra.contoso.local",UPN:kenneth.cruz@contoso.com,"Client Authentication, Server Authentication",2024-10-22 15:03:12,2026-10-22 15:03:12,1000347,2024-10-22 15:03:12,Issued,"Client Authentication, Server Authentication",
20218,contoso.com\mprice,MachineCertificate,Mary Price,"CN=Mary Price, OU=IT, DC=intra.contoso.local",RFC822:mprice@contoso.com,"Client Authentication, Server Authentication",2024-04-16 18:27:23,2026-04-16 18:27:23,1000395,2024-04-16 18:27:23,Issued,"Client Authentication, Server Authentication",
20688,contoso.com\tshelton,AdminCertificate,Todd Shelton,"CN=Todd Shelton, OU=Sales, DC=intra.contoso.local",URI:https://contoso.com/users/tshelton,"Client Authentication, Any Purpose",2023-09-01 21:01:01,2025-08-31 21:01:01,1000592,2023-09-01 21:01:01,Issued,"Client Authentication, Any Purpose",
21103,contoso.com\jhampton,EmailCertificate,Jamie Hampton,"CN=Jamie Hampton, OU=Finance, DC=intra.contoso.local","RFC822:jhampton@contoso.com, UPN:jhampton@contoso.com, UPN:jhampton@contoso.com",Secure Email,2024-05-31 05:48:52,2026-05-31 05:48:52,1000619,2024-05-31 05:48:52,Issued,Secure Email,
21174,contoso.com\elizabethharris,ServerCertificate,Elizabeth Harris,"CN=Elizabeth Harris, OU=HR, DC=intra.contoso.local","RFC822:elizabethharris@contoso.com, RFC822:elizabethharris@contoso.com, URI:https://contoso.com/users/elizabethharris",Server Authentication,2023-11-23 23:16:56,2025-11-22 23:16:56,1000766,2023-11-23 23:16:56,Issued,Server Authentication,
21489,contoso.com\kathleen.wilkins,EmailCertificate,Kathleen Wilkins,"CN=Kathleen Wilkins, OU=Engineering, DC=intra.contoso.local",UPN:kathleen.wilkins@contoso.com,Secure Email,2024-10-17 10:44:37,2026-10-17 10:44:37,1000728,2024-10-17 10:44:37,Issued,Secure Email,
20383,contoso.com\jasonmartin,AdminCertificate,Jason Martin,"CN=Jason Martin, OU=Marketing, DC=intra.contoso.local","URI:https://contoso.com/users/jasonmartin, UPN:jasonmartin@contoso.com, URI:https://contoso.com/users/jasonmartin","Client Authentication, Any Purpose",2024-07-20 01:14:57,2026-07-20 01:14:57,1000875,2024-07-20 01:14:57,Issued,"Client Authentication, Any Purpose",
20303,contoso.com\ericalopez,EmailCertificate,Erica Lopez,"CN=Erica Lopez, OU=Operations, DC=intra.contoso.local","UPN:ericalopez@contoso.com, UPN:ericalopez@contoso.com",Secure Email,2024-05-26 20:35:33,2026-05-26 20:35:33,1000719,2024-05-26 20:35:33,Issued,Secure Email,
